Key,English,Russia,French,Spanish,Portuguese,Korean,Japanese
Play Game,Play Game,Играть,Jouer,Juego,Jogar,게임 시작,ゲーム
More,More,Еще,Plus,Más,Mais,더 보기,以上
Exit,Exit,Выход,Sortie,Salida,Saída,나가기,口
Back,Back,Назад,De retour,De vuelta,De volta,뒤로,裏
Europe,Europe,Европа,Europe,Europa,Europa,유럽,欧州
USA,USA,США,États-unis,Estados Unidos,EUA,미국,米国
Asia,Asia,Азия,Asie,Asia,Ásia,아시아,アジア
Japan,Japan,Япония,Japon,Japón,Japão,일본,日本
Select Region,Select Region,Выбрать регион,Sélectionnez Région,Seleccione región,Selecione Região,나라 선택,選択地域
Servers,Servers,Сервера,Serveur,Servidores,Servidores,서버,サーバー
Player,Player,Игрок,Joueur,Jugador,Player,플레이어,プレイヤー
Shop,Shop,Магазин,Boutique,Tienda,Loja,상점,店
Next,Next,Далее,Prochaine,Siguiente,Próximo,다음,次へ
Create Server,Create Server,Создать сервер,Créer Serveur,Crear Servidor,Criar Servidor,서버 만들기,作成サーバ
Refresh,Refresh,Обнов.,Actualiser,Actualización,Atualização,새로고침,リフレッシュ
Mode,Mod,Режим,Mod,Modo de,Modo de,모드,モード
Server Name,Server Name,Имя сервера,Nom Serveur,Nombre Servidor,Nome Servidor,서버이름,サーバー名
Max Players,Max Players,Макс. игроков,Max. Joueurs,Máximo Jugadores,Máximo Jogadores,최대 인원,最大選手
Password,Password,Пароль,Mot de passe,Contraseña,Palavra-passe,비밀번호,パスワード
Players,Players,Игроки,Joueurs,Jugadores,Jogadores,플레이어들,選手
Ping,Ping,Пинг,Ping,Ping,Ping,핑,Ping
New Level,New Level,Новый уровень,Nouveau Niveau,Nuevo Nivel,Novo Nível,레벨 업,新しいレベル
Blue Team,Blue Team,Синяя команда,Blue Team,Blue Team,Blue Team,블루팀,ブルーチーム
Red Team,Red Team,Красная команда,Red Team,Red Team,Red Team,레드팀,赤いチーム
Connecting,Connecting,Подключение,Connexion,La conexión,Conexão,연결,接続
TeamDeathmatch,Team Deathmatch,Командный бой,Team Deathmatch,Team Deathmatch,Team Deathmatch,팀 데스매치,チームデスマッチ
KnifeMode,Knife Mode,Резня,Couteau Mode,Cuchillo Modo,Faca Modo,칼 모드,ナイフモード
